Timestamp,gForceX,gForceZ,gForceY,Speed,Longitude,Latitude,Heading,BatteryLevel,Altitude,Accuracy,EnergySaverStatus,BatteryState,BatteryPowerSource,device_id,rider,streamId,team,version
1674137460905553000,-0.7094719095916395,8.754107891673772,4.430016198628385,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137462013121000,-0.3575366464528171,8.252518913962625,5.18948845429854,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137462157434000,-0.29827454686164856,8.391283915593075,5.181565394768348,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137462252000000,,,,0,0.5846004,51.6901963,0,0.54,101.4000015258789,14.22599983215332,Off,Discharging,Battery,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137462285457000,-0.46568010174311125,8.44560564481295,5.218240077678974,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137462655662000,-2.418476457779224,6.634468848888691,6.655590240771954,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137462881757000,-3.6052474608788123,2.7891799303201528,8.225741936610294,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137463115449000,-3.874923192537748,3.433470450914823,8.300885714017427,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137463505742000,-4.158472648033729,5.432328590979943,10.925029901357798,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137463739047000,-0.7031907668480506,0.8015495527249116,9.055107964919163,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137463817725000,0.5099703584398542,0.9878298597676414,8.327279195189476,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137464273020000,-0.4289825191864601,-1.9283389861767108,5.0440700971163235,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137464430033000,-1.7347733836907606,6.336309398596104,6.9263473474062405,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137464774232000,1.0046863980018175,10.044471447284405,1.6993412467149587,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137464951697000,0.32459560151283556,11.113303661346436,-0.2688934401823924,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137465108861000,0.4394740897875566,9.882127321683443,0.44840115767258865,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137465399673000,0.43606891998877895,9.896070113548866,0.4411306633399083,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137465776279000,0.4358848585532262,9.899015279916616,0.44067049943483794,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137465921480000,0.4372653319285466,9.899291258591871,0.43671314074442935,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137466298081000,0.4329727121761867,9.89782530920846,0.4337418313537325,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137466434853000,0.4335840665377103,9.891008523794321,0.4337681279732631,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137466644845000,0.4327557820540208,9.889996235187237,0.434320316864894,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137467011486000,0.4314673382502336,9.89579413487361,0.42861435734308684,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137467152059000,0.43468843973599947,9.901684100811298,0.4318354611213391,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137467490766000,0.43130628019571304,9.902098298072815,0.43295134231448174,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137467592833000,0.4319792613387108,9.905388355255127,0.4310071747750044,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137468095842000,0.43100717465082805,9.908199946085611,0.4300500472386678,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137468209747000,0.43252988295121625,9.90867857499556,0.43046335740522906,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137468410867000,0.43160538375377655,9.909037494659424,0.43100717961788176,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137468692993000,0.42949172457059226,9.900383377075196,0.4282953123251597,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
1674137469030247000,0.43023805958884104,9.902781895228795,0.4284434361117227,,,,,,,,,,,MyDevice,Tester,TestStream-f4e319,TeamQuix,8
